Année;jour;nombre;empty;empty;empty;empty;empty;empty
2015;Jeudi;756.0;;;;;;
2010;Mercredi;586.0;;;;;;
2012;Jeudi;683.0;;;;;;
2011;Dimanche;0.0;;;;;;
2014;Jeudi;804.0;;;;;;
2011;Mardi;304.0;;;;;;
2010;Jeudi;742.0;;;;;;
2015;Mardi;328.0;;;;;;
2011;Vendredi;1449.0;;;;;;
2012;Dimanche;0.0;;;;;;
2013;Lundi;743.0;;;;;;
2010;Lundi;684.0;;;;;;
2014;Lundi;775.0;;;;;;
2011;Lundi;629.0;;;;;;
2012;Mardi;272.0;;;;;;
2013;Mercredi;514.0;;;;;;
2014;Mercredi;593.0;;;;;;
2012;Vendredi;1688.0;;;;;;
2010;Mardi;358.0;;;;;;
2012;Mercredi;542.0;;;;;;
2011;Mercredi;541.0;;;;;;
2015;Lundi;671.0;;;;;;
2013;Samedi;5330.0;;;;;;
2010;Samedi;5114.0;;;;;;
2010;Dimanche;1.0;;;;;;
2015;Mercredi;492.0;;;;;;
2014;Mardi;365.0;;;;;;
2013;Mardi;327.0;;;;;;
2014;Vendredi;1956.0;;;;;;
2014;Samedi;5373.0;;;;;;
2015;Vendredi;1564.0;;;;;;
2012;Lundi;669.0;;;;;;
2015;Dimanche;1.0;;;;;;
2013;Dimanche;0.0;;;;;;
2010;Vendredi;1710.0;;;;;;
2011;Jeudi;648.0;;;;;;
2013;Jeudi;760.0;;;;;;
2013;Vendredi;1769.0;;;;;;
2012;Samedi;5211.0;;;;;;
2011;Samedi;5156.0;;;;;;
2014;Dimanche;0.0;;;;;;
2015;Samedi;5234.0;;;;;;
